time,Roll,Pitch,Yaw,Ax,Ay,Az,D1,D2
0.0,-3.7,-5.46,59.83,18,267,-27,0,0
0.13459992408752441,-13.97,15.5,65.66,17,268,-4,116,0
0.2688934803009033,-10.7,25.61,69.67,43,275,-5,109,0
0.4017043113708496,-16.7,14.47,64.37,24,263,-28,88,0
0.5361695289611816,-32.83,15.25,62.9,-1,262,-14,113,0
0.6674356460571289,-34.68,41.39,77.42,40,270,11,66,0
0.8017311096191406,-29.55,32.58,73.64,48,269,-2,110,0
0.9363923072814941,-30.07,13.51,64.1,30,265,-26,107,0
1.0702836513519287,-41.53,7.02,57.45,0,261,-15,112,0
1.2036502361297607,-52.6,-2.2,51.28,16,269,1,105,0
