Designator,Mid X,Mid Y,Layer,Rotation
BNO055,83.61,60.71,Top,270.0
C1,89.02,62.07,Top,90.0
C2,90.58,62.01,Top,270.0
C3,77.91,61.78,Top,0.0
C7,76.34,56.23,Top,180.0
C8,78.01,63.52,Top,180.0
C9,86.73,64.68,Top,0.0
CN1,84.08,46.28,Top,180.0
CN2,73.38,53.23,Top,90.0
CN3,84.14,76.02,Top,0.0
CN4,73.28,71.02,Top,90.0
D1,91.87,56.19,Top,180.0
D2,78.03,66.36,Top,90.0
J1,71.40,62.00,Top,270.0
Q3,87.33,58.01,Top,90.0
R1,90.46,65.79,Top,180.0
R3,82.06,65.51,Top,0.0
R4,91.75,57.62,Top,180.0
U2,79.35,58.37,Top,0.0
X2,86.91,61.62,Top,270.0
